"We can't get the order instance right now.","We can't get the order instance right now."
"MaxMind Fraud Detection","MaxMind Fraud Detection"
"Order MaxMind","Order MaxMind"
Yes,Yes
No,No
"Maxmind License key not set.","Maxmind License key not set."
"Maxmind Account Id is not set.","Maxmind Account Id is not set."
"Request Api Json Encoding Error","Request Api Json Encoding Error"
"Api Request Error ","Api Request Error "
"Report Chargeback sent successfully","Report Chargeback sent successfully"
"No riskScore or server response.","No riskScore or server response."
"Automatically Detect","Automatically Detect"
US-east,US-east
US-west,US-west
EU-west,EU-west
"US East, Virginia, US","US East, Virginia, US"
"US West, San Jose, California, US","US West, San Jose, California, US"
"EU West, London, UK","EU West, London, UK"
"MaxMind minFraud Legacy","MaxMind minFraud Legacy"
"MaxMind minFraud Score","MaxMind minFraud Score"
"MaxMind minFraud Insight","MaxMind minFraud Insight"
"MaxMind minFraud Factors","MaxMind minFraud Factors"
"Reported IP address","Reported IP address"
"Report the IP address of the customer placing the order.","Report the IP address of the customer placing the order."
"Chargeback Code (optional)","Chargeback Code (optional)"
"Insert chargeback code provided by your payment processor indicating the reason for the chargeback.","Insert chargeback code provided by your payment processor indicating the reason for the chargeback."
"Chargeback Tag (optional)","Chargeback Tag (optional)"
"Not sending anything","Not sending anything"
"Not Fraud","Not Fraud"
"Suspected Fraud","Suspected Fraud"
"Spam or Abuse","Spam or Abuse"
Chargeback,Chargeback
"Select the likelihood that a transaction may be fraudulent. Possible values: `not_fraud`, `suspected_fraud`, `spam_or_abuse`, or `chargeback`.","Select the likelihood that a transaction may be fraudulent. Possible values: `not_fraud`, `suspected_fraud`, `spam_or_abuse`, or `chargeback`."
Submit,Submit
Cancel,Cancel
"Risk Score Estimate:","Risk Score Estimate:"
"(Approximately %1 of all orders fall in this range)","(Approximately %1 of all orders fall in this range)"
N/A,N/A
"MaxMind Credit Remaining:","MaxMind Credit Remaining:"
"Purchase Additional Credit","Purchase Additional Credit"
"Maxmind Fraud Report Data","Maxmind Fraud Report Data"
"Risk Score","Risk Score"
"Risk Score Estimate","Risk Score Estimate"
"The riskScore is given as a percentage, and as such it ranges from 0.01 to 100.00. For example,
                    an order with a riskScore of 20.00 has a 20% chance of being fraudulent, while an order with a
                    riskScore of 0.10 has a 0.1% chance of being fraudulent. To change threshold estimate ","The riskScore is given as a percentage, and as such it ranges from 0.01 to 100.00. For example,
                    an order with a riskScore of 20.00 has a 20% chance of being fraudulent, while an order with a
                    riskScore of 0.10 has a 0.1% chance of being fraudulent. To change threshold estimate "
"click here","click here"
"To report current order as Chargeback click the","To report current order as Chargeback click the"
"Report Chargeback","Report Chargeback"
"Already Sent","Already Sent"
"MaxMind Account Information","MaxMind Account Information"
"Request Type","Request Type"
Factors,Factors
"minFraud Id","minFraud Id"
"Credit Remaining (relative to this order)","Credit Remaining (relative to this order)"
"Funds Remaining (relative to this order)","Funds Remaining (relative to this order)"
"Response Warnings","Response Warnings"
"Warning Message(s)","Warning Message(s)"
"minFraud Factors Outputs","minFraud Factors Outputs"
"IP Address Checks","IP Address Checks"
"IP Risk Score","IP Risk Score"
City,City
Confidence,Confidence
"Geoname Id","Geoname Id"
Name,Name
Continent,Continent
Code,Code
Country,Country
"High risk country","High risk country"
"ISO Code","ISO Code"
"Country is in the EU","Country is in the EU"
Location,Location
"Local date/time of IP address","Local date/time of IP address"
"Accuracy Radius","Accuracy Radius"
Latitude,Latitude
Longitude,Longitude
"Time zone","Time zone"
Traits,Traits
"Autonomous System Number","Autonomous System Number"
"Autonomous System Organization","Autonomous System Organization"
Domain,Domain
"IP Address","IP Address"
"Is Anonymous","Is Anonymous"
"Is Anonymous Proxy","Is Anonymous Proxy"
"Is Anonymous Vpn","Is Anonymous Vpn"
"Is Hosting Provider","Is Hosting Provider"
"Is Public Proxy","Is Public Proxy"
"Is Satellite Provider","Is Satellite Provider"
"Is Tor Exit Node","Is Tor Exit Node"
ISP,ISP
Network,Network
Organization,Organization
"Static IP Score","Static IP Score"
"User Count","User Count"
"User Type","User Type"
"Email Checks","Email Checks"
"Free email","Free email"
"Carder Email","Carder Email"
"Email first seen","Email first seen"
"Billing Address Checks","Billing Address Checks"
"Billing postal code is in the billing city","Billing postal code is in the billing city"
"Billing postal code latitude","Billing postal code latitude"
"Billing postal code longitude","Billing postal code longitude"
"Billing postal code to IP address distance","Billing postal code to IP address distance"
"Billing address is in IP country","Billing address is in IP country"
"Shipping Address Checks","Shipping Address Checks"
"Shipping postal code is in the shipping city","Shipping postal code is in the shipping city"
